GO_id,GO_description,Pathway,Description,incorrect
GO:0009088,threonine biosynthetic process,No appropriate pathway,"This describes the synthesis of an amino acid. While threonine biosynthesis is not always mitochondrial in mammals, mitochondria are central to overall amino acid metabolism, including catabolism and interconversion.",False
GO:0061805,mitotic spindle elongation (spindle phase three),Mitochondrial dynamics and surveillance,"During cell division, mitochondria undergo significant dynamic changes, including fission, fusion, and active trafficking, to ensure proper segregation to daughter cells. These processes are coordinated with the mitotic spindle, making mitochondrial dynamics the most appropriate general category.",False
GO:0034399,nuclear periphery,Mitochondrial dynamics and surveillance > Organelle contact sites,"The nuclear periphery is a region where the nucleus interacts with other organelles. Mitochondria form contact sites with the ER, which is continuous with the nuclear envelope, indicating potential interactions at the nuclear periphery.",False
GO:0097576,vacuole fusion,Mitochondrial dynamics and surveillance > Autophagy,"In organisms like yeast, vacuole fusion is often an integral part of the autophagic pathway, which includes mitophagy, the selective degradation of mitochondria. This links vacuole dynamics to mitochondrial surveillance.",False
GO:1902497,iron-sulfur cluster transmembrane transport,Small molecule transport,Iron-sulfur clusters are synthesized in mitochondria and then transported across membranes to other cellular compartments. This represents a specific instance of small molecule transport.,False
GO:0061503,tRNA threonylcarbamoyladenosine dehydratase activity,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This enzyme activity is involved in the modification of tRNA. Mitochondria contain their own tRNAs that undergo various modifications, placing this term under mitochondrial tRNA modifications.",False
GO:0016558,protein import into peroxisome matrix,"Protein import, sorting and homeostasis","This GO term describes a protein import process into an organelle. Although it specifies peroxisomes, 'Protein import, sorting and homeostasis' is the overarching category in the hierarchy for cellular protein import and targeting mechanisms, making it the most general, albeit indirect, fit for this type of process.",False
GO:0016236,macroautophagy,Mitochondrial dynamics and surveillance > Autophagy,"Macroautophagy is a major cellular degradation pathway, and the hierarchy explicitly lists 'Autophagy' as a top-level category under 'Mitochondrial dynamics and surveillance'.",False
GO:0018484,4-hydroxybenzaldehyde dehydrogenase (NAD+) activity,Metabolism > Metals and cofactors > Coenzyme Q metabolism,"4-hydroxybenzaldehyde is an intermediate in the biosynthesis of ubiquinone (Coenzyme Q), and this enzyme activity is part of that metabolic pathway.",False
GO:0004322,ferroxidase activity,Metabolism > Metals and cofactors > Iron homeostasis,"Ferroxidase activity is essential for maintaining iron homeostasis by oxidizing ferrous iron, which is critical for iron storage and utilization within the cell, including in mitochondria.",False
GO:0006986,response to unfolded protein,"Protein import, sorting and homeostasis > Protein homeostasis","The response to unfolded proteins is a key mechanism for maintaining protein homeostasis within the cell, including the mitochondria, by managing misfolded proteins.",False
GO:0031966,mitochondrial membrane,Mitochondrial dynamics and surveillance > Cristae formation,"Mitochondrial membranes are fundamental structures, and their formation and organization, particularly the inner membrane's cristae, are crucial for mitochondrial function and are explicitly covered by 'Cristae formation'.",False
GO:0000049,tRNA binding,Mitochondrial central dogma > Translation,"tRNA binding is a fundamental step in protein translation, where tRNAs deliver amino acids to the ribosome, a process central to mitochondrial protein synthesis.",False
GO:0000055,ribosomal large subunit export from nucleus,No appropriate pathway,"While ribosomal large subunit export from the nucleus is a nuclear process, the proteins comprising the mitochondrial ribosome are synthesized by cytosolic ribosomes (whose subunits are exported from the nucleus) and subsequently imported into the mitochondria for assembly. This term describes a prerequisite step for mitochondrial ribosome formation.",False
GO:0000054,ribosomal subunit export from nucleus,No appropriate pathway,"Similar to large subunit export, the general process of ribosomal subunit export from the nucleus provides the protein components necessary for the assembly of mitochondrial ribosomes.",False
GO:0001018,mitochondrial promoter sequence-specific DNA binding,Mitochondrial central dogma > mtRNA metabolism > Transcription,"This GO term describes the binding of proteins to mitochondrial promoters, which is a fundamental step in initiating mitochondrial gene transcription.",False
GO:0052656,L-isoleucine-2-oxoglutarate transaminase activity,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"This enzyme activity is directly involved in the metabolism of L-isoleucine, a branched-chain amino acid, linking it to mitochondrial amino acid metabolic pathways.",False
GO:0005506,iron ion binding,Metabolism > Metals and cofactors > Iron homeostasis,"Iron is an essential metal cofactor for numerous mitochondrial enzymes and proteins (e.g., Fe-S clusters, heme), and its binding is fundamental to iron homeostasis and utilization within the mitochondrion.",False
GO:0005979,regulation of glycogen biosynthetic process,No appropriate pathway,"While glycogen synthesis is primarily cytosolic, its regulation is tightly integrated with overall cellular energy status and carbohydrate metabolism, in which mitochondria play a central role.",False
GO:0030950,establishment or maintenance of actin cytoskeleton polarity,Mitochondrial dynamics and surveillance > Trafficking,"The actin cytoskeleton plays a crucial role in mitochondrial trafficking, positioning, and dynamics within the cell. The establishment and maintenance of its polarity directly influence these mitochondrial movements.",False
GO:0055037,recycling endosome,No appropriate pathway,"While recycling endosomes are distinct organelles, their function in cellular trafficking and material sorting can indirectly influence mitochondrial processes, potentially through inter-organelle communication or contact sites, which are relevant to mitochondrial dynamics and surveillance.",False
GO:0032922,circadian regulation of gene expression,Signaling,"Circadian rhythms are known to regulate various aspects of mitochondrial function, including gene expression, making this a form of signaling that impacts mitochondrial biology.",False
GO:0032938,negative regulation of translation in response to oxidative stress,Mitochondrial central dogma > Translation,"Mitochondria are major sites of oxidative stress, and the regulation of protein translation, including mitochondrial translation, is a critical response to maintain cellular and mitochondrial proteostasis under such conditions.",False
GO:0052381,tRNA dimethylallyltransferase activity,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This enzyme modifies mitochondrial tRNAs, a key step in their maturation within the mitochondrial RNA metabolism pathway.",False
GO:0004033,obsolete aldo-keto reductase (NADPH) activity,Metabolism > Detoxification > Xenobiotic metabolism,"Aldo-keto reductases are a diverse family of enzymes often involved in reducing various endogenous and exogenous carbonyl compounds, a function frequently associated with detoxification processes in mitochondria.",False
GO:0004075,biotin carboxylase activity,Metabolism > Vitamin metabolism > Biotin utilizing proteins,"Biotin carboxylase activity is essential for the function of biotin-dependent carboxylases, which are crucial mitochondrial enzymes, thus directly linking to biotin metabolism.",False
GO:0004124,cysteine synthase activity,Metabolism > Amino acid metabolism,"Cysteine synthesis is a fundamental process within amino acid metabolism, and mitochondria are involved in various aspects of sulfur-containing amino acid pathways.",False
GO:0050152,omega-amidase activity,Metabolism > Amino acid metabolism,"Omega-amidase activity is involved in the catabolism of specific amino acid derivatives (e.g., from asparagine and glutamine), placing it within general amino acid metabolism.",False
GO:0034246,mitochondrial transcription factor activity,Mitochondrial central dogma > mtRNA metabolism > Transcription,Mitochondrial transcription factors directly regulate the process of gene transcription within the mitochondrion.,False
GO:0003864,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"This enzyme is specifically involved in the degradation pathway of branched-chain amino acids, a process primarily localized to mitochondria.",False
GO:0000297,spermine transmembrane transporter activity,Small molecule transport,"This activity describes the movement of a small molecule (spermine) across a membrane, fitting the general category of small molecule transport, which includes mitochondrial transporters.",False
GO:0043335,protein unfolding,"Protein import, sorting and homeostasis > Protein import and sorting",Protein unfolding is often a prerequisite step for the translocation of nuclear-encoded proteins across mitochondrial membranes during protein import.,False
GO:0006533,L-aspartate catabolic process,Metabolism > Amino acid metabolism,"The breakdown of L-aspartate is a process within the broader category of amino acid metabolism, with mitochondrial enzymes often playing a role.",False
GO:0006591,ornithine metabolic process,Metabolism > Amino acid metabolism > Urea cycle,"Ornithine is a central intermediate in the urea cycle, a metabolic pathway with key steps occurring in the mitochondrial matrix.",False
GO:0004412,homoserine dehydrogenase activity,Metabolism > Amino acid metabolism,"Homoserine dehydrogenase is an enzyme involved in amino acid biosynthesis pathways (e.g., methionine, threonine), which falls under general amino acid metabolism.",False
GO:0016301,kinase activity,Signaling,"Kinase activity, involving phosphorylation, is a fundamental mechanism for signal transduction and regulation, making 'Signaling' the most appropriate general pathway.",False
GO:0004740,pyruvate dehydrogenase (acetyl-transferring) kinase activity,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"This kinase specifically regulates the pyruvate dehydrogenase complex, a key enzyme in mitochondrial pyruvate metabolism, thus directly linking to carbohydrate metabolism.",False
GO:0000015,phosphopyruvate hydratase complex,Metabolism > Carbohydrate metabolism > Gluconeogenesis,"Phosphopyruvate hydratase (enolase) is a crucial enzyme in gluconeogenesis, a pathway that involves mitochondrial steps for glucose synthesis.",False
GO:0016150,"translation release factor activity, codon nonspecific",Mitochondrial central dogma > Translation > Translation factors,"Translation release factors are essential components of the mitochondrial translation machinery, responsible for terminating protein synthesis.",False
GO:0006392,transcription elongation by mitochondrial RNA polymerase,Mitochondrial central dogma > mtRNA metabolism > Transcription,This term directly describes a specific phase of gene transcription carried out by the mitochondrial RNA polymerase within the mitochondrion.,False
GO:0006913,nucleocytoplasmic transport,No appropriate pathway,"While not a mitochondrial process itself, nucleocytoplasmic transport of mRNA and proteins is an essential upstream step for the synthesis and subsequent import of nuclear-encoded mitochondrial proteins, making it indirectly related to mitochondrial protein homeostasis.",False
GO:0006903,vesicle targeting,Mitochondrial dynamics and surveillance > Trafficking,"Vesicle targeting can be involved in the delivery of components to mitochondria or in processes like mitophagy, where autophagosomes target mitochondria, fitting under the broader category of mitochondrial trafficking.",False
GO:0016881,acid-amino acid ligase activity,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"Aminoacyl-tRNA synthetases, which are a type of acid-amino acid ligase, are critical for charging mitochondrial tRNAs with their cognate amino acids, a fundamental step in mitochondrial translation.",False
GO:0005762,mitochondrial large ribosomal subunit,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"This term refers to a structural component of the mitochondrial ribosome, which is essential for protein synthesis within the mitochondrion.",False
GO:0005730,nucleolus,No appropriate pathway,"The nucleolus is primarily involved in the biogenesis of cytosolic ribosomes. While not directly mitochondrial, it is the cellular compartment for ribosome assembly, and mitochondrial ribosome assembly is a distinct but conceptually related process within the mitochondrial central dogma.",False
GO:0005739,mitochondrion,No appropriate pathway,"This term refers to the entire organelle. 'Mitochondrial dynamics and surveillance' encompasses processes related to the overall structure, integrity, and life cycle of the mitochondrion itself.",False
GO:0005770,late endosome,Mitochondrial dynamics and surveillance > Autophagy,"Late endosomes are involved in cellular trafficking and degradation pathways. These pathways can intersect with autophagy, a process that includes mitophagy (degradation of mitochondria), making this the most relevant, albeit indirect, link.",False
GO:0052655,L-valine-2-oxoglutarate transaminase activity,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"This enzyme activity is directly involved in the transamination of L-valine, a branched-chain amino acid, placing it squarely within branched-chain amino acid metabolism.",False
GO:0052689,carboxylic ester hydrolase activity,Metabolism,"This is a very general enzymatic activity involved in breaking down ester bonds. Without more specific context, it fits best into the broad 'Metabolism' category as it can be involved in various metabolic processes like lipid breakdown or detoxification.",False
GO:0016618,hydroxypyruvate reductase [NAD(P)H] activity,Metabolism > Amino acid metabolism > Serine metabolism,"Hydroxypyruvate reductase is an enzyme involved in the interconversion of hydroxypyruvate and D-glycerate, which are key intermediates in serine and glycine metabolism.",False
GO:0030678,mitochondrial ribonuclease P complex,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"Mitochondrial RNase P is crucial for the maturation of mitochondrial tRNAs by processing their 5' leader sequences, a key step in the processing of polycistronic mitochondrial RNA transcripts.",False
GO:0017059,serine palmitoyltransferase complex,Metabolism > Lipid metabolism > Phospholipid metabolism,"Serine palmitoyltransferase catalyzes the first step in sphingolipid biosynthesis. Sphingolipids are a class of lipids, and phospholipid metabolism is the most appropriate general lipid synthesis category in the hierarchy.",False
GO:0030042,actin filament depolymerization,Mitochondrial dynamics and surveillance > Trafficking,"Actin filament dynamics are essential for intracellular transport, including the trafficking and positioning of mitochondria within the cell.",False
GO:0005507,copper ion binding,Metabolism > Metals and cofactors > Copper metabolism,"Copper is an essential metal cofactor for several mitochondrial enzymes, most notably cytochrome c oxidase (Complex IV) of the OXPHOS system, making its metabolism critical for mitochondrial function.",False
GO:0015450,protein-transporting ATPase activity,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor","Mitochondrial protein import relies on ATP-dependent motor proteins (e.g., mtHsp70 associated with TIM23) to translocate proteins across the inner mitochondrial membrane.",False
GO:0008641,ubiquitin-like modifier activating enzyme activity,Mitochondrial dynamics and surveillance > Mitophagy,"Ubiquitin-like modifiers, particularly ubiquitin, are crucial for marking mitochondrial proteins and entire mitochondria for degradation, a key step in mitochondrial protein homeostasis and mitophagy.",False
GO:0006308,DNA catabolic process,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay,"This process describes the breakdown of DNA, which in the mitochondrial context refers to the degradation and turnover of mitochondrial DNA.",False
GO:0006260,DNA replication,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,"This term directly refers to the process of DNA synthesis, which in mitochondria is the replication of mitochondrial DNA.",False
GO:0006163,purine nucleotide metabolic process,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,"Mitochondria play a significant role in the synthesis, interconversion, and processing of purine nucleotides, which are vital for various mitochondrial and cellular functions.",False
GO:0043137,"DNA replication, removal of RNA primer",Mitochondrial central dogma > mtDNA maintenance > mtDNA replication,"This is a specific enzymatic step within the broader process of DNA replication, which in mitochondria refers to mtDNA replication.",False
GO:0045160,myosin I complex,Mitochondrial dynamics and surveillance > Trafficking,"Myosin I is an actin-based motor protein involved in intracellular transport, including the movement and positioning of organelles like mitochondria.",False
GO:0070180,large ribosomal subunit rRNA binding,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,"This activity is a fundamental step in the formation and assembly of the large ribosomal subunit, which is a key component of the mitochondrial ribosome.",False
GO:0045182,translation regulator activity,Mitochondrial central dogma > Translation > Translation factors,"This activity describes the modulation of translation, which in mitochondria is carried out by specific mitochondrial translation factors that regulate the process.",False
GO:0070143,mitochondrial alanyl-tRNA aminoacylation,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"This process involves the attachment of alanine to its specific mitochondrial tRNA, a function performed by mitochondrial alanyl-tRNA synthetases, which are essential for mitochondrial translation.",False
GO:0008199,ferric iron binding,Metabolism > Metals and cofactors > Iron homeostasis,"Ferric iron is an essential metal cofactor for numerous mitochondrial proteins, including those in Fe-S clusters and heme. Its binding is fundamental to maintaining mitochondrial iron homeostasis and function.",False
GO:0106310,protein serine kinase activity,Signaling,"Protein serine kinase activity represents a fundamental signaling mechanism, where phosphorylation of mitochondrial proteins can regulate various mitochondrial processes, including metabolism, dynamics, and apoptosis.",False
GO:0071255,Cvt vesicle assembly,Mitochondrial dynamics and surveillance > Autophagy,"Cvt vesicle assembly is a process involved in the cytoplasm-to-vacuole targeting pathway, a selective form of autophagy that delivers specific cytosolic proteins to the lysosome/vacuole, falling under the broader category of cellular autophagy.",False
GO:0000743,nuclear migration involved in conjugation with cellular fusion,No appropriate pathway,"While primarily a nuclear process, nuclear migration during cellular fusion involves significant cellular reorganization and cytoskeletal dynamics, which can indirectly impact mitochondrial positioning and interactions, thus broadly relating to cellular and organelle dynamics.",False
GO:0022618,protein-RNA complex assembly,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,"Mitochondria contain their own ribosomes, which are large protein-RNA complexes. The assembly of these mitochondrial ribosomes is a critical process for mitochondrial protein synthesis and falls under this category.",False
GO:0071563,Myo2p-Vac17p-Vac8p transport complex,No appropriate pathway,"This complex is involved in the transport of the vacuole within the cell, representing a form of intracellular trafficking. While not directly mitochondrial, it falls under the broader cellular processes of organelle movement and positioning.",False
GO:0032461,positive regulation of protein oligomerization,"Protein import, sorting and homeostasis > Protein homeostasis","Many mitochondrial protein complexes, such as those in OXPHOS or protein import, require proper oligomerization for their function. The regulation of this process is essential for maintaining mitochondrial protein homeostasis and function.",False
GO:0044614,nuclear pore cytoplasmic filaments,Mitochondrial dynamics and surveillance,"Nuclear pore cytoplasmic filaments are components of the nuclear pore complex, which regulates nucleocytoplasmic transport. While not directly mitochondrial, this transport is essential for the synthesis of nuclear-encoded mitochondrial proteins, thus indirectly supporting mitochondrial biogenesis and cellular organization.",False
GO:0009986,cell surface,No appropriate pathway,"The cell surface is the outermost boundary of the cell. While not directly mitochondrial, it defines the cellular environment and interactions that can indirectly influence mitochondrial function and cellular homeostasis.",False
GO:0006661,phosphatidylinositol biosynthetic process,Metabolism > Lipid metabolism > Phospholipid metabolism,"Phosphatidylinositol is a type of phospholipid. Its biosynthesis is part of the broader phospholipid metabolism, which is an important aspect of mitochondrial lipid metabolism, contributing to membrane structure and signaling.",False
GO:0043605,amide catabolic process,Metabolism > Amino acid metabolism,"Amide catabolic processes involve the breakdown of compounds containing amide bonds. Many amino acids are amides, and their catabolism is a significant part of mitochondrial amino acid metabolism.",False
GO:0016024,CDP-diacylglycerol biosynthetic process,Metabolism > Lipid metabolism > Phospholipid metabolism,"CDP-diacylglycerol is a crucial intermediate in the biosynthesis of various phospholipids, including cardiolipin, which is vital for mitochondrial membrane structure and function, thus falling under phospholipid metabolism.",False
GO:0003786,actin lateral binding,Mitochondrial dynamics and surveillance,"Actin lateral binding describes the interaction of proteins with actin filaments. The actin cytoskeleton plays a crucial role in mitochondrial dynamics, including trafficking, fission, and fusion, making this molecular function relevant to mitochondrial dynamics and surveillance.",False
GO:0000957,mitochondrial RNA catabolic process,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,"This process describes the degradation of mitochondrial RNA, which is essential for regulating gene expression and quality control within the mitochondria, directly matching mtRNA stability and decay.",False
GO:0015867,ATP transport,Small molecule transport > SLC25A family,"ATP transport, primarily mediated by the ADP/ATP translocase (a member of the SLC25A family), is crucial for exporting ATP generated by OXPHOS from the mitochondrial matrix to the cytoplasm.",False
GO:0034063,stress granule assembly,No appropriate pathway,"Stress granule assembly is a cytoplasmic response to cellular stress. While not directly mitochondrial, cellular stress responses often involve complex signaling pathways where mitochondria play a central role in sensing and propagating stress signals.",False
GO:0034045,phagophore assembly site membrane,Mitochondrial dynamics and surveillance > Autophagy,"The phagophore assembly site membrane is crucial for the initiation and formation of autophagosomes, which are central to the process of autophagy, a key cellular surveillance mechanism.",False
GO:1990816,vacuole-mitochondrion membrane contact site,Mitochondrial dynamics and surveillance > Organelle contact sites,"This term directly refers to a specific membrane contact site between the vacuole and mitochondrion, which are crucial for inter-organelle communication, lipid transfer, and other regulatory processes.",False
GO:0120009,intermembrane lipid transfer,Mitochondrial dynamics and surveillance > Organelle contact sites,"Intermembrane lipid transfer is a process where lipids move between different cellular membranes, often facilitated by membrane contact sites between organelles, which are crucial for maintaining membrane composition and function.",False
GO:0016540,protein autoprocessing,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage","Protein autoprocessing, particularly self-cleavage or maturation, aligns with the broader concept of preprotein cleavage, a critical step in the processing of proteins imported into mitochondria.",False
GO:0043337,cardiolipin synthase (CMP-forming) activity,Metabolism > Lipid metabolism > Cardiolipin synthesis,"Cardiolipin synthase is directly responsible for the biosynthesis of cardiolipin, a unique phospholipid essential for mitochondrial membrane structure and function, placing it squarely within cardiolipin synthesis.",False
GO:0043529,GET complex,"Protein import, sorting and homeostasis > Protein import and sorting","The GET complex mediates the insertion of tail-anchored proteins into membranes, including the outer mitochondrial membrane. This is a form of protein import and sorting, even if not through the canonical TOM/TIM pathways.",False
GO:0004475,mannose-1-phosphate guanylyltransferase (GTP) activity,No appropriate pathway,"This enzyme synthesizes GDP-mannose, a nucleotide sugar. While not a primary mitochondrial process, it involves nucleotide synthesis and processing, which is a general metabolic category that can encompass such activities if a more specific mitochondrial role is not defined.",False
GO:0004601,peroxidase activity,Metabolism > Detoxification > ROS and glutathione metabolism,"Peroxidase activity is crucial for detoxifying reactive oxygen species (ROS), which are abundantly produced in mitochondria. This function is a key component of ROS and glutathione metabolism for cellular detoxification.",False
GO:0006397,mRNA processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"Mitochondria have their own mRNA molecules (mt-mRNAs) that undergo processing, particularly from polycistronic transcripts, making 'Polycistronic mtRNA processing' a highly specific and appropriate category.",False
GO:0051536,iron-sulfur cluster binding,Metabolism > Metals and cofactors > Fe-S-containing proteins,"Iron-sulfur clusters are essential cofactors for many mitochondrial proteins, particularly those involved in the electron transport chain. This GO term directly describes the characteristic of proteins that contain these clusters.",False
GO:0051503,adenine nucleotide transport,Small molecule transport > SLC25A family,"Adenine nucleotide transport, primarily mediated by the Adenine Nucleotide Translocase (ANT), is a key function of the SLC25A family of mitochondrial carriers, facilitating ATP/ADP exchange across the inner mitochondrial membrane.",False
GO:0005254,chloride channel activity,Small molecule transport,"Chloride channels are involved in ion movement across mitochondrial membranes, influencing membrane potential and volume. This falls under the general category of small molecule transport, as no more specific ion channel category is provided.",False
GO:0042720,mitochondrial inner membrane peptidase complex,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","The mitochondrial inner membrane peptidase complex consists of proteases that cleave and degrade proteins within the mitochondria, contributing to overall protein quality control and turnover, which is a core aspect of protein homeostasis and protease function.",False
GO:1990221,L-cysteine desulfurase complex,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,"L-cysteine desulfurases provide the sulfur atom for the initial steps of iron-sulfur cluster biosynthesis, a crucial mitochondrial pathway for producing these essential cofactors.",False
GO:0051015,actin filament binding,Mitochondrial dynamics and surveillance > Trafficking,Mitochondria interact with the actin cytoskeleton for their movement and positioning within the cell. Proteins that bind to actin filaments can mediate mitochondrial trafficking and localization.,False
GO:0005643,nuclear pore,No appropriate pathway,"The nuclear pore facilitates transport between the nucleus and cytoplasm, including the import of nuclear-encoded mitochondrial proteins and the export of RNAs. While not a mitochondrial pathway itself, it is a critical component of cellular signaling and communication that directly impacts mitochondrial biogenesis and function.",False
GO:0030091,protein repair,"Protein import, sorting and homeostasis > Protein homeostasis","Protein repair mechanisms are essential for maintaining the integrity and function of mitochondrial proteins, especially given the oxidative environment. This is a fundamental aspect of protein homeostasis within the organelle.",False
GO:0006006,glucose metabolic process,No appropriate pathway,"Glucose metabolism, while largely cytosolic, directly feeds into mitochondrial pathways (e.g., pyruvate entry into the TCA cycle) and is the overarching category for carbohydrate-related metabolic processes relevant to mitochondrial energy production.",False
GO:0033597,mitotic checkpoint complex,No appropriate pathway,"The mitotic checkpoint complex regulates cell cycle progression. While not a mitochondrial component, cell cycle control is a major cellular signaling pathway that integrates mitochondrial function and can influence mitochondrial dynamics and apoptosis.",False
GO:0005484,SNAP receptor activity,Mitochondrial dynamics and surveillance > Fusion,"SNAP receptors (SNAREs) are key components of membrane fusion machinery. In mitochondria, fusion is a critical dynamic process, and SNARE-like proteins are implicated in mediating mitochondrial membrane fusion events.",False
GO:0045944,positive regulation of transcription by RNA polymerase II,No appropriate pathway,"RNA polymerase II transcribes nuclear genes, many of which encode mitochondrial proteins. The regulation of these genes is a crucial aspect of cellular signaling that controls mitochondrial biogenesis and function.",False
GO:0006364,rRNA processing,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,"Mitochondria contain their own ribosomal RNA (mt-rRNA) which undergoes processing and modifications as part of mitoribosome biogenesis, directly fitting into the mt-rRNA modifications category.",False
GO:0008320,protein transmembrane transporter activity,"Protein import, sorting and homeostasis > Protein import and sorting","This activity describes the fundamental process of moving proteins across membranes. In mitochondria, this is exemplified by the TOM and TIM complexes, which are central to protein import and sorting into the organelle.",False
GO:0047964,glyoxylate reductase (NADH) activity,Metabolism > Amino acid metabolism > Glyoxylate metabolism,"Glyoxylate reductase is a key enzyme in the glyoxylate metabolic pathway, which is part of amino acid metabolism.",False
GO:0006172,ADP biosynthetic process,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,"ADP biosynthesis is a fundamental process within nucleotide metabolism, specifically related to the synthesis and processing of nucleotides.",False
GO:0070071,proton-transporting two-sector ATPase complex assembly,OXPHOS > Complex V > CV assembly factors,"The proton-transporting two-sector ATPase complex is ATP synthase (Complex V), and its assembly is mediated by specific assembly factors.",False
GO:0060090,molecular adaptor activity,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones","Molecular adaptors facilitate protein-protein interactions, which are crucial for protein complex assembly and function, a role often played by chaperones in maintaining protein homeostasis.",False
GO:0008526,phosphatidylinositol transfer activity,Metabolism > Lipid metabolism > Phospholipid metabolism,"Phosphatidylinositol transfer activity is directly involved in the movement and metabolism of phospholipids, a key aspect of mitochondrial lipid metabolism.",False
GO:0008517,folic acid transmembrane transporter activity,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,"Folic acid (folate) transport is essential for folate and one-carbon metabolism, which is categorized under vitamin metabolism.",False
GO:0008104,intracellular protein localization,"Protein import, sorting and homeostasis > Protein import and sorting","Intracellular protein localization, when applied to mitochondria, primarily refers to the processes of protein import into and sorting within the organelle.",False
GO:0008124,4-alpha-hydroxytetrahydrobiopterin dehydratase activity,Metabolism > Metals and cofactors > Tetrahydrobiopterin synthesis,"This enzyme activity is directly involved in the synthesis and regeneration of tetrahydrobiopterin, an important mitochondrial cofactor.",False
GO:0050815,phosphoserine residue binding,"Protein import, sorting and homeostasis > Protein homeostasis","Binding to phosphoserine residues is a mechanism for recognizing post-translationally modified proteins, influencing their stability, localization, or activity, which are key aspects of protein homeostasis.",False
GO:0045039,protein insertion into mitochondrial inner membrane,"Protein import, sorting and homeostasis > Protein import and sorting","This process describes the specific targeting and integration of proteins into the mitochondrial inner membrane, a core function of the protein import and sorting machinery.",False
GO:0002926,tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"This GO term describes a specific post-transcriptional modification of tRNA, which is a crucial aspect of mitochondrial tRNA metabolism.",False
GO:0051920,peroxiredoxin activity,Metabolism > Detoxification > ROS and glutathione metabolism,"Peroxiredoxins are a class of enzymes that reduce peroxides, playing a critical role in detoxifying reactive oxygen species (ROS) within the mitochondria.",False
GO:0061710,L-threonylcarbamoyladenylate synthase activity,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"L-threonylcarbamoyladenylate synthase is involved in the modification of tRNA, a process essential for proper mitochondrial translation and categorized under mt-tRNA modifications.",False
GO:0007119,budding cell isotropic bud growth,Mitochondrial dynamics and surveillance,"Mitochondria are integral to cellular growth and division processes like budding, providing energy and signaling, thus linking to mitochondrial dynamics and surveillance.",False
GO:0032186,cellular bud neck septin ring organization,Mitochondrial dynamics and surveillance,"Mitochondrial dynamics and positioning are often coordinated with cellular structural organization, including the cytoskeleton and cell division structures like the septin ring.",False
GO:0009436,glyoxylate catabolic process,Metabolism > Amino acid metabolism > Glyoxylate metabolism,"This GO term describes the breakdown of glyoxylate, a central process within glyoxylate metabolism, which is part of amino acid metabolism.",False
GO:0007346,regulation of mitotic cell cycle,Mitochondrial dynamics and surveillance,"Mitochondria play crucial roles in providing energy and signaling cues that regulate the mitotic cell cycle, and their dynamics are tightly coordinated with cell cycle progression.",False
GO:0009898,cytoplasmic side of plasma membrane,No appropriate pathway,"While primarily a cellular component, mitochondria can form contact sites with the plasma membrane, influencing processes like calcium signaling and lipid transfer, which falls under the broader context of organelle interactions.",False
GO:0034986,iron chaperone activity,Metabolism > Metals and cofactors > Iron homeostasis,"Iron chaperones are essential for the proper handling and delivery of iron, a critical aspect of mitochondrial iron homeostasis and Fe-S cluster biogenesis.",False
GO:0046983,protein dimerization activity,"Protein import, sorting and homeostasis > Protein homeostasis","Protein dimerization is a common mechanism for regulating protein function, stability, and assembly, which are all aspects of mitochondrial protein homeostasis.",False
GO:0033934,"glucan 1,4-alpha-maltotriohydrolase activity",Metabolism > Carbohydrate metabolism,"This enzyme activity is involved in the breakdown of carbohydrates (glucans), which is a fundamental aspect of cellular metabolism, including processes that feed into mitochondrial energy production.",False
